,YearMonth,weights_714157,weights_714207,weights_714243
0,201701,0.333,0.333,0.333
1,201702,0.04407,0.95423,0.0017
2,201703,0.72199,0.27631,0.0017
3,201704,0.67746,0.32004,0.00251
4,201705,0.40312,0.29233,0.30455
5,201706,0.4864,0.5132,0.0004
6,201707,0.55429,0.35083,0.09488
7,201708,0.00246,0.79326,0.20429
8,201709,0.67605,0.32088,0.00307
9,201710,0.00823,0.27981,0.71196
10,201711,0.36153,0.00247,0.636
11,201712,0.98934,0.00166,0.009
12,201801,0.97327,0.02472,0.00201
13,201802,0.00338,0.02463,0.97199
14,201803,0.80238,0.1761,0.02152
15,201804,0.27784,0.70202,0.02014
16,201805,0.93722,0.00399,0.05879
17,201806,0.0221,0.76265,0.21525
18,201807,0.36683,0.62593,0.00724
19,201808,0.17559,0.3952,0.42921
20,201809,0.00874,0.86261,0.12866
21,201810,0.5496,0.00087,0.44953
22,201811,0.90557,0.00274,0.09169
23,201812,0.04862,0.00487,0.94652
24,201901,0.13414,0.6923,0.17356
25,201902,0.00449,0.73323,0.26228
26,201903,0.03151,0.36124,0.60725
27,201904,0.74864,0.01015,0.24121
28,201905,0.7504,0.1442,0.10539
29,201906,0.94257,0.05174,0.00569
30,201907,0.00859,0.98187,0.00954
31,201908,0.95532,0.00276,0.04193
